Bacteria Family,Genus,Species,Flower species,Petal Transect
Bacillaceae,Bacillus,Bacillus aryabhattai,Verbesina alternifolia,5
Bacillaceae,Bacillus ,Bacillus megaterium,Helianthus tuberosus,1
Bacillaceae,Bacillus,Bacillus pumilus,Helianthus tuberosus,3
Bacillaceae,Exiguobacterium,Exiguobacterium acetylicum,Verbesina alternifolia,3
Bacillaceae,Exiguobacterium ,Exiguobacterium acetylicum,Verbesina alternifolia,3
Enterobacteriaceae,Erwinia,Erwinia endophytica,Helianthus tuberosus,1
Enterobacteriaceae,Kluyvera,Kluyvera intermedia,Verbesina alternifolia,4
Enterobacteriaceae,Pantoea,Pantoea rodasii,Verbesina alternifolia,5
Enterobacteriaceae,Pseudescherichia,Pseudescherichia vulneris,Helianthus tuberosus,2
Enterobacteriaceae,Pseudescherichia,Pseudescherichia vulneris,Helianthus tuberosus,1
Enterobacteriaceae,Rosenbergiella,Rosenbergiella australiborealis,Helianthus tuberosus,3
Enterobacteriaceae,Rosenbergiella,Rosenbergiella australiborealis,Helianthus tuberosus,5
Enterobacteriaceae,Rosenbergiella,Rosenbergiella australiborealis,Helianthus tuberosus,2
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella australiborealis,Verbesina alternifolia,2
Enterobacteriaceae,Rosenbergiella,Rosenbergiella australiborealis,Helianthus tuberosus,4
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella australiborealis,Verbesina alternifolia,3
Enterobacteriaceae,Rosenbergiella,Rosenbergiella collisarenosi,Verbesina alternifolia,5
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella collisarenosi,Helianthus tuberosus,5
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella collisarenosi,Verbesina alternifolia,2
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella collisarenosi,Verbesina alternifolia,3
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella collisarenosi,Verbesina alternifolia,3
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella epipactidis,Helianthus tuberosus,5
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella epipactidis,Helianthus tuberosus,4
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella epipactidis,Helianthus tuberosus,4
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella epipactidis,Helianthus tuberosus,2
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella epipactidis,Helianthus tuberosus,3
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella epipactidis,Helianthus tuberosus,3
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella epipactidis,Verbesina alternifolia,5
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella epipactidis,Verbesina alternifolia,5
Enterobacteriaceae,Rosenbergiella ,Rosenbergiella epipactidis,Verbesina alternifolia,1
Enterobacteriaceae,Rouxiella ,Rouxiella chamberiensis,Helianthus tuberosus,3
