Time,T° 600,E6-H,G4-H,B10-H,G3-H,F4-H,E12-H,E10-H,C10-H,EC-H,E6-L,G4-L,B10-L,G3-L,F4-L,E12-L,E10-L,C10-L,EC-L,B12-H,B8-H,D7-H,C6-H,B7-H,B6-H,A8-H,C8-H,B12-L,B8-L,D7-L,C6-L,B7-L,B6-L,A8-L,C8-L,G6-H,F8-H,D8-H,A7-H,B9-H,D3-H,E9-H,E4-H,A10-H,G6-L,F8-L,D8-L,A7-L,B9-L,D3-L,E9-L,E4-L,A10-L,G9-H,C7-H,D6-H,A1-H,E1-H,F11-H,C9-H,J1-H,G9-L,C7-L,D6-L,A1-L,E1-L,F11-L,C9-L,J1-L
0:29:10,30,0.003,0,0.002,0.003,0.004,0.002,0.002,0.002,0.016,0.087,0.087,0.089,0.088,0.091,0.089,0.087,0.092,0.107,0.007,0.001,0.001,0.002,0.004,0.001,0.002,0.004,0.003,0.001,0,0,-0.001,-0.001,0.001,0.001,0.003,0.002,0.003,0,0.004,0,-0.001,0.003,0.002,0.001,0.002,0.002,0,0.001,0.007,0,0.002,0,0.005,0.005,0.001,0.003,0.002,0.003,0.005,0.006,0.002,0.001,0.001,0.002,0.001,0.002,0.003,0.001
0:59:10,30.1,0.003,0.001,0.003,0.003,0.005,0.002,0.002,0.003,0.02,0.087,0.087,0.089,0.088,0.091,0.089,0.087,0.092,0.108,0.008,0.002,0.001,0.002,0.004,0.001,0.002,0.005,0.003,0.002,0.001,0,0,-0.001,0.002,0.002,0.003,0.002,0.003,0,0.005,0,0,0.004,0.002,0.001,0.002,0.002,0.001,0.001,0.007,0,0.002,0,0.005,0.007,0.002,0.004,0.003,0.003,0.006,0.006,0.003,0.002,0.001,0.002,0.001,0.003,0.003,0.001
1:29:10,30.1,0.003,0.001,0.003,0.003,0.006,0.002,0.003,0.003,0.025,0.087,0.088,0.089,0.088,0.091,0.089,0.087,0.093,0.115,0.01,0.002,0.001,0.002,0.004,0.001,0.003,0.007,0.004,0.002,0.001,0,0,-0.001,0.002,0.002,0.003,0.004,0.004,0,0.006,0,0,0.005,0.003,0.002,0.002,0.002,0.001,0.002,0.007,0,0.002,0,0.006,0.008,0.002,0.005,0.003,0.004,0.007,0.007,0.003,0.004,0.001,0.003,0.001,0.003,0.004,0.001
1:59:10,30,0.003,0.001,0.004,0.004,0.008,0.003,0.003,0.003,0.034,0.087,0.088,0.089,0.088,0.092,0.089,0.087,0.096,0.123,0.011,0.002,0.002,0.002,0.004,0.001,0.003,0.008,0.005,0.002,0.001,0,0,-0.001,0.002,0.002,0.003,0.005,0.004,0.002,0.006,0,0.001,0.007,0.003,0.002,0.003,0.002,0.001,0.002,0.007,0.001,0.003,0,0.007,0.01,0.002,0.006,0.003,0.003,0.008,0.006,0.003,0.009,0.001,0.004,0.001,0.003,0.004,0.001
2:29:10,30.1,0.003,0.001,0.005,0.004,0.01,0.005,0.003,0.004,0.05,0.087,0.088,0.089,0.088,0.092,0.089,0.087,0.098,0.136,0.014,0.002,0.002,0.002,0.004,0.001,0.004,0.009,0.006,0.002,0.001,0,0,-0.001,0.002,0.003,0.004,0.006,0.005,0.001,0.007,0.001,0.002,0.007,0.005,0.002,0.003,0.003,0.001,0.002,0.007,0.001,0.003,0.001,0.009,0.014,0.002,0.007,0.004,0.003,0.009,0.006,0.003,0.013,0.001,0.005,0.002,0.003,0.004,0.001
2:59:10,30,0.003,0.002,0.005,0.005,0.013,0.002,0.004,0.006,0.07,0.087,0.088,0.089,0.088,0.093,0.089,0.088,0.096,0.152,0.016,0.002,0.003,0.002,0.004,0.001,0.004,0.011,0.006,0.002,0.001,0,0,-0.001,0.003,0.003,0.004,0.009,0.005,0.002,0.008,0.001,0.002,0.011,0.005,0.003,0.003,0.003,0.001,0.003,0.007,0.002,0.005,0.001,0.012,0.023,0.002,0.008,0.004,0.003,0.01,0.006,0.003,0.015,0.001,0.006,0.002,0.003,0.004,0.001
3:29:10,30.1,0.003,0.002,0.006,0.005,0.017,0.002,0.004,0.005,0.093,0.087,0.088,0.089,0.089,0.095,0.089,0.088,0.098,0.173,0.019,0.002,0.003,0.003,0.004,0.001,0.005,0.012,0.007,0.002,0.001,0,0.001,-0.001,0.002,0.003,0.01,0.011,0.006,0.005,0.01,0.001,0.004,0.015,0.005,0.004,0.004,0.003,0.001,0.003,0.007,0.002,0.005,0.001,0.013,0.035,0.002,0.01,0.004,0.004,0.013,0.005,0.003,0.013,0.001,0.007,0.001,0.003,0.004,0.001
3:59:10,30.1,0.003,0.002,0.005,0.006,0.024,0.002,0.004,0.006,0.113,0.087,0.088,0.089,0.089,0.097,0.089,0.088,0.097,0.205,0.02,0.002,0.003,0.004,0.004,0.001,0.005,0.014,0.008,0.002,0.001,0,0,-0.001,0.003,0.004,0.017,0.014,0.007,0.006,0.013,0.001,0.004,0.021,0.006,0.012,0.004,0.003,0.001,0.003,0.007,0.002,0.008,0.001,0.018,0.043,0.004,0.014,0.004,0.004,0.015,0.005,0.003,0.015,0.002,0.008,0.002,0.003,0.004,0.001
4:29:10,30.1,0.003,0.002,0.004,0.007,0.034,0.002,0.005,0.007,0.146,0.087,0.088,0.089,0.09,0.1,0.089,0.088,0.099,0.273,0.019,0.002,0.004,0.004,0.004,0.001,0.007,0.018,0.009,0.002,0.001,0,0.001,-0.001,0.003,0.004,0.014,0.018,0.01,0.008,0.019,0.001,0.005,0.029,0.006,0.004,0.005,0.003,0.002,0.003,0.007,0.003,0.01,0.001,0.023,0.058,0.004,0.013,0.005,0.004,0.017,0.005,0.003,0.021,0.002,0.01,0.002,0.003,0.004,0.001
4:59:10,30,0.002,0.003,0.004,0.008,0.048,0.002,0.007,0.007,0.234,0.087,0.088,0.089,0.09,0.105,0.089,0.089,0.106,0.309,0.017,0.002,0.006,0.005,0.004,0.001,0.008,0.02,0.012,0.002,0.001,0,0.001,-0.001,0.002,0.004,0.016,0.025,0.013,0.009,0.026,0,0.005,0.044,0.005,0.007,0.006,0.003,0.002,0.004,0.007,0.003,0.014,0.001,0.024,0.078,0.006,0.02,0.005,0.004,0.018,0.005,0.003,0.024,0.002,0.012,0.002,0.003,0.004,0.001
